                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.59914,                0.92834,                0.27746,                0.40176,                 1.1326,                0.99851,                0.99902,                0.99478,                0.91956,                0.99851,                0.99902,                0.99478,                0.95247,                0.43174,                0.31477,                 0.0542,                0.27225,                0.93684,              0.0013204,              0.0013204,              0.0013204
                     23,                 0.5875,                0.86142,                0.26438,                0.39035,                 1.1314,                0.99837,                0.99902,                0.99466,                0.92175,                0.99837,                0.99902,                0.99466,                0.94544,                  0.431,                0.31458,                0.06394,                0.28403,                0.92886,              0.0013039,              0.0013039,              0.0013039
                     24,                0.57784,                0.84515,                0.26034,                0.39177,                 1.1181,                0.99876,                0.99902,                0.99466,                0.93462,                0.99876,                0.99902,                0.99466,                0.96123,                0.40639,                0.28795,                0.06044,                0.25141,                0.90584,              0.0012874,              0.0012874,              0.0012874
                     25,                 0.5743,                0.86816,                0.25745,                0.38845,                 1.1169,                0.99861,                0.99902,                0.99479,                 0.9204,                0.99861,                0.99902,                0.99479,                0.96207,                0.43256,                0.27579,                 0.0489,                0.27086,                 0.9335,              0.0012709,              0.0012709,              0.0012709
                     26,                0.57107,                0.82398,                0.24841,                0.38819,                 1.1152,                0.99861,                0.99902,                0.99452,                0.92123,                0.99861,                0.99902,                0.99452,                0.96795,                0.43026,                0.27441,                0.05121,                0.26147,                0.93554,              0.0012544,              0.0012544,              0.0012544
                     27,                0.56499,                0.75676,                0.24732,                0.37599,                 1.1122,                0.99868,                0.99902,                0.99443,                0.92594,                0.99868,                0.99902,                0.99443,                0.96014,                0.40545,                0.27807,                0.04835,                0.25062,                0.89808,              0.0012379,              0.0012379,              0.0012379
                     28,                0.56406,                0.77137,                0.24373,                0.38544,                 1.1053,                0.99824,                0.99902,                  0.995,                0.92148,                0.99824,                0.99902,                  0.995,                0.96852,                0.42503,                  0.248,                0.04301,                0.26048,                0.92105,              0.0012214,              0.0012214,              0.0012214
                     29,                0.55563,                0.76109,                0.24317,                0.37387,                 1.1092,                0.99872,                0.99902,                0.99489,                0.92965,                0.99872,                0.99902,                0.99489,                0.96687,                0.41656,                0.27565,                0.05188,                0.25603,                0.91748,              0.0012049,              0.0012049,              0.0012049
                     30,                0.55283,                0.73528,                0.24112,                 0.3694,                 1.0994,                0.99875,                0.99902,                0.99462,                0.93392,                0.99875,                0.99902,                0.99462,                 0.9738,                0.40887,                0.26068,                 0.0451,                 0.2426,                0.90213,              0.0011884,              0.0011884,              0.0011884
                     31,                0.55122,                0.71438,                0.23203,                0.36416,                  1.104,                0.99864,                0.99902,                0.99451,                0.93579,                0.99864,                0.99902,                0.99451,                 0.9648,                0.39162,                0.25716,                 0.0404,                0.24645,                0.88978,              0.0011719,              0.0011719,              0.0011719
                     32,                0.54345,                0.70356,                0.22848,                0.36472,                  1.097,                0.99883,                0.99902,                 0.9948,                0.92761,                0.99883,                0.99902,                 0.9948,                0.97027,                0.42265,                0.26158,                0.04074,                0.24745,                0.91435,              0.0011554,              0.0011554,              0.0011554
                     33,                0.53553,                0.69274,                0.22619,                0.36021,                 1.0914,                0.99879,                0.99902,                0.99472,                0.93711,                0.99879,                0.99902,                0.99472,                 0.9774,                0.39718,                0.24117,                0.04039,                0.23382,                0.89243,              0.0011389,              0.0011389,              0.0011389
                     34,                0.52923,                0.66326,                0.22877,                0.35765,                 1.0888,                 0.9986,                0.99902,                0.99487,                0.94094,                 0.9986,                0.99902,                0.99487,                0.97651,                0.37806,                0.24334,                0.03853,                0.23626,                0.88026,              0.0011224,              0.0011224,              0.0011224
                     35,                0.52668,                0.66062,                0.22207,                0.35701,                 1.0861,                 0.9988,                0.99902,                0.99473,                0.93926,                 0.9988,                0.99902,                0.99473,                0.97118,                0.39171,                0.21761,                0.04186,                0.24024,                0.88776,              0.0011059,              0.0011059,              0.0011059
                     36,                0.52864,                 0.6577,                0.21618,                0.35165,                 1.0815,                0.99878,                0.99902,                0.99477,                0.94366,                0.99878,                0.99902,                0.99477,                0.98288,                0.36186,                0.22209,                0.03625,                0.22493,                 0.8598,              0.0010894,              0.0010894,              0.0010894
                     37,                0.52302,                0.65542,                  0.222,                0.34864,                 1.0838,                0.99862,                0.99902,                 0.9946,                0.94036,                0.99862,                0.99902,                 0.9946,                0.97911,                0.38401,                0.22756,                0.04583,                0.23876,                 0.8818,              0.0010729,              0.0010729,              0.0010729
                     38,                0.51465,                0.61742,                0.21451,                0.34653,                 1.0769,                0.99871,                0.99902,                0.99493,                0.93714,                0.99871,                0.99902,                0.99493,                0.98247,                0.37392,                   0.22,                0.03448,                0.22827,                0.86769,              0.0010564,              0.0010564,              0.0010564
                     39,                0.52008,                0.61033,                0.21555,                0.34667,                 1.0803,                0.99825,                0.99902,                0.99438,                0.94864,                0.99825,                0.99902,                0.99438,                0.98368,                0.36986,                0.22127,                0.03768,                0.22627,                0.86558,              0.0010399,              0.0010399,              0.0010399
                     40,                 0.5181,                0.61189,                0.21098,                0.34434,                 1.0786,                0.99862,                0.99902,                0.99496,                0.94263,                0.99862,                0.99902,                0.99496,                0.98642,                0.36768,                0.21465,                0.03543,                 0.2286,                0.85949,              0.0010234,              0.0010234,              0.0010234
                     41,                 0.5041,                0.58022,                0.21227,                0.33807,                 1.0789,                 0.9987,                0.99902,                0.99472,                0.94014,                 0.9987,                0.99902,                0.99472,                0.98491,                0.37888,                0.20102,                0.03771,                 0.2288,                0.87933,              0.0010069,              0.0010069,              0.0010069
                     42,                0.50647,                0.56143,                0.20535,                0.33941,                 1.0713,                0.99874,                0.99902,                0.99467,                0.94485,                0.99874,                0.99902,                0.99467,                0.98786,                0.35619,                0.21207,                0.03775,                0.22246,                0.84628,             0.00099036,             0.00099036,             0.00099036
                     43,                0.50056,                0.56254,                0.20342,                0.34014,                  1.066,                0.99871,                0.99902,                0.99438,                0.95141,                0.99871,                0.99902,                0.99438,                0.98526,                0.34797,                0.20255,                0.03419,                0.21647,                0.84332,             0.00097386,             0.00097386,             0.00097386
                     44,                0.49553,                0.57979,                0.20464,                0.33048,                 1.0643,                0.99869,                0.99902,                0.99481,                0.94168,                0.99869,                0.99902,                0.99481,                 0.9852,                0.37039,                0.20201,                0.03514,                0.22621,                0.86285,             0.00095736,             0.00095736,             0.00095736
                     45,                0.50019,                0.55499,                0.20439,                0.33494,                 1.0702,                0.99883,                0.99902,                0.99479,                0.94028,                0.99883,                0.99902,                0.99479,                0.98813,                0.36852,                0.19674,                 0.0349,                0.21958,                0.86076,             0.00094085,             0.00094085,             0.00094085
                     46,                0.49338,                0.53556,                0.19912,                0.33086,                 1.0641,                0.99885,                0.99902,                0.99497,                0.94418,                0.99885,                0.99902,                0.99497,                 0.9862,                0.35127,                0.19456,                0.03197,                0.21595,                0.84371,             0.00092435,             0.00092435,             0.00092435
                     47,                0.49826,                0.52617,                0.19735,                0.32952,                 1.0648,                0.99885,                0.99902,                0.99472,                0.95261,                0.99885,                0.99902,                0.99472,                0.98506,                0.34127,                0.20252,                0.03242,                0.21063,                0.83773,             0.00090785,             0.00090785,             0.00090785
                     48,                0.48557,                0.53682,                0.20122,                0.32795,                 1.0658,                0.99876,                0.99902,                0.99481,                0.95242,                0.99876,                0.99902,                0.99481,                0.98698,                0.33736,                 0.1977,                0.02911,                0.21196,                0.82872,             0.00089134,             0.00089134,             0.00089134
                     49,                0.47267,                0.49736,                0.19528,                0.31856,                 1.0477,                0.99881,                0.99902,                0.99474,                0.94733,                0.99881,                0.99902,                0.99474,                0.99163,                 0.3454,                0.19135,                0.02854,                0.21119,                0.83585,             0.00087484,             0.00087484,             0.00087484
                     50,                0.47792,                0.49959,                0.19586,                0.31783,                 1.0508,                0.99882,                0.99902,                0.99496,                0.95651,                0.99882,                0.99902,                0.99496,                0.98794,                0.33777,                0.19498,                0.03235,                0.21465,                0.83237,             0.00085834,             0.00085834,             0.00085834
                     51,                0.46973,                  0.505,                 0.1914,                0.31702,                 1.0486,                0.99882,                0.99902,                  0.995,                0.95643,                0.99882,                0.99902,                  0.995,                0.99144,                0.33549,                0.19022,                0.03084,                0.20728,                0.82521,             0.00084184,             0.00084184,             0.00084184
                     52,                0.47324,                0.49676,                0.19383,                0.31862,                 1.0535,                0.99885,                0.99902,                0.99494,                0.95572,                0.99885,                0.99902,                0.99494,                 0.9915,                0.33178,                 0.1869,                0.03198,                0.20382,                0.82049,             0.00082533,             0.00082533,             0.00082533
                     53,                0.46757,                0.47609,                0.18858,                0.31872,                  1.048,                0.99882,                0.99902,                0.99499,                0.95507,                0.99882,                0.99902,                0.99499,                0.99066,                0.32954,                0.18454,                0.02609,                0.20392,                0.82239,             0.00080883,             0.00080883,             0.00080883
                     54,                0.46479,                0.44873,                0.19094,                0.31766,                 1.0444,                0.99875,                0.99902,                  0.995,                 0.9465,                0.99875,                0.99902,                  0.995,                0.99278,                0.35422,                0.17997,                0.02691,                0.21521,                 0.8366,             0.00079233,             0.00079233,             0.00079233
                     55,                0.47058,                0.47636,                 0.1884,                0.31809,                 1.0512,                0.99885,                0.99902,                  0.995,                0.95428,                0.99885,                0.99902,                  0.995,                0.99264,                0.32713,                0.17734,                0.02917,                0.20471,                0.81418,             0.00077582,             0.00077582,             0.00077582
                     56,                0.46007,                0.44628,                0.18382,                0.31195,                 1.0457,                0.99886,                0.99902,                0.99496,                0.95706,                0.99886,                0.99902,                0.99496,                0.98939,                0.33389,                0.17645,                0.02844,                0.20366,                0.81884,             0.00075932,             0.00075932,             0.00075932
                     57,                0.45534,                0.44644,                0.18689,                0.30268,                 1.0416,                0.99884,                0.99902,                  0.995,                0.95983,                0.99884,                0.99902,                  0.995,                0.99326,                0.31925,                0.17061,                0.02808,                0.19887,                0.80964,             0.00074282,             0.00074282,             0.00074282
                     58,                0.45406,                0.46231,                0.18315,                0.30534,                  1.039,                0.99914,                0.99902,                  0.995,                0.95468,                0.99914,                0.99902,                  0.995,                 0.9913,                0.31675,                0.17903,                0.02653,                0.19443,                0.81079,             0.00072631,             0.00072631,             0.00072631
                     59,                0.44613,                0.43752,                0.18071,                0.30286,                 1.0358,                0.99893,                0.99902,                  0.995,                0.95564,                0.99893,                0.99902,                  0.995,                0.99089,                0.31243,                0.16915,                0.02648,                0.19356,                0.79983,             0.00070981,             0.00070981,             0.00070981
                     60,                0.45478,                0.42161,                0.17915,                0.30255,                 1.0366,                0.99888,                0.99902,                  0.995,                0.96118,                0.99888,                0.99902,                  0.995,                0.99307,                0.30612,                0.16071,                0.02749,                 0.1888,                0.79659,             0.00069331,             0.00069331,             0.00069331
                     61,                0.44654,                0.43841,                0.18047,                0.30142,                 1.0331,                0.99918,                0.99902,                  0.995,                0.95849,                0.99918,                0.99902,                  0.995,                0.99189,                0.30734,                0.16228,                0.02471,                0.18792,                0.79895,              0.0006768,              0.0006768,              0.0006768
                     62,                 0.4461,                0.42208,                0.17823,                0.29931,                 1.0347,                0.99893,                0.99906,                  0.995,                0.96054,                 0.9989,                0.99902,                  0.995,                0.99246,                0.30835,                0.16786,                0.02527,                0.18745,                0.79721,              0.0006603,              0.0006603,              0.0006603
                     63,                  0.437,                0.38998,                0.17631,                0.29073,                 1.0308,                0.99891,                0.99907,                  0.995,                0.96121,                0.99886,                0.99902,                  0.995,                0.99335,                0.30996,                0.16515,                 0.0253,                0.18929,                0.80179,              0.0006438,              0.0006438,              0.0006438
                     64,                0.43959,                0.38772,                0.18045,                0.29556,                 1.0329,                0.99892,                 0.9991,                  0.995,                0.96653,                0.99885,                0.99902,                  0.995,                0.99401,                0.30114,                0.15569,                0.02611,                 0.1839,                0.79469,             0.00062729,             0.00062729,             0.00062729
                     65,                0.44298,                0.38368,                0.17211,                0.29405,                   1.04,                 0.9989,                0.99902,                  0.995,                0.96441,                 0.9989,                0.99902,                  0.995,                0.99314,                0.30547,                0.15994,                0.02434,                0.18789,                0.79676,             0.00061079,             0.00061079,             0.00061079
                     66,                 0.4365,                0.39006,                0.17657,                0.29184,                 1.0289,                0.99924,                0.99902,                  0.995,                0.96191,                0.99924,                0.99902,                  0.995,                0.99402,                 0.3049,                0.15999,                 0.0257,                0.18793,                0.79735,             0.00059429,             0.00059429,             0.00059429
